Unidad de Negocio,Período,Ingresos,Egresos,Total,Efectivo,Banco
Academia Musica,Octubre 2019,11800.0,26960.0,-15160.0,-15160.0,0.0
Academia Musica,Diciembre 2019,0.0,10775.0,-10775.0,-10775.0,0.0
Academia Musica,Noviembre 2019,16800.0,19605.0,-2805.0,-2805.0,0.0
Academia Musica,Agosto 2019,20200.0,0.0,20200.0,20200.0,0.0
Academia Musica,Junio 2019,0.0,0.0,0.0,0.0,0.0
Academia Musica,Julio 2019,0.0,0.0,0.0,0.0,0.0
Academia Musica,Septiembre 2019,26175.0,28478.0,-2303.0,-2303.0,0.0
Academia Musica,Marzo 2020,1300.0,0.0,1300.0,1300.0,0.0
Alquileres Varios,Octubre 2021,50210.0,50210.0,0.0,0.0,0.0
Alquileres Varios,Enero 2022,60417.0,60417.0,0.0,0.0,0.0
Alquileres Varios,Febrero 2022,75417.0,75417.0,0.0,0.0,0.0
Alquileres Varios,Marzo 2022,92000.0,92000.0,0.0,0.0,0.0
Alquileres Varios,Junio 2022,245000.0,245000.0,0.0,0.0,0.0
Alquileres Varios,Julio 2022,105000.0,105000.0,0.0,0.0,0.0
Alquileres Varios,Agosto 2022,245000.0,245000.0,0.0,0.0,0.0
Alquileres Varios,Septiembre 2022,245000.0,245000.0,0.0,0.0,0.0
Alquileres Varios,Octubre 2022,245000.0,245000.0,0.0,0.0,0.0
Alquileres Varios,Noviembre 2022,247050.0,247050.0,0.0,0.0,0.0
Bambu/Hanei,Agosto 2021,299496.0,223854.61,75641.39,24558.31,57702.79
Bambu/Hanei,Septiembre 2021,536957.31,480588.88,56368.43,1018.63,81270.87
Bambu/Hanei,Noviembre 2021,367957.83,456477.82,-88519.99,5237.84,-87017.0
Bambu/Hanei,Octubre 2021,412664.13,401837.3,10826.83,8658.63,18454.92
Bambu/Hanei,Diciembre 2021,393721.84,314209.02,79512.82,32111.28,58270.35
Bambu/Hanei,Enero 2022,330466.28,333128.67,-2662.39,0.0,0.0
CONSULTORIOS,Octubre 2019,27132.44,26436.37,696.07,-15557.0,18253.07
CONSULTORIOS,Diciembre 2019,24406.85,20363.0,4043.85,-10320.0,16363.85
CONSULTORIOS,Abril 2020,15453.59,15453.59,0.0,0.0,0.0
CONSULTORIOS,Enero 2020,23743.23,22619.06,1124.17,-13285.11,16409.28
CONSULTORIOS,Febrero 2020,28667.0,18780.0,9887.0,-8450.0,18337.0
CONSULTORIOS,Marzo 2020,27645.68,21659.0,5986.68,-15080.0,21066.68
CONSULTORIOS,Enero 2019,10000.0,0.0,10000.0,4300.0,0.0
CONSULTORIOS,Julio 2019,19969.82,18040.0,1929.82,-12981.0,17769.82
CONSULTORIOS,Junio 2019,14519.82,13000.0,1519.82,-10800.0,12319.82
CONSULTORIOS,Febrero 2019,4300.0,0.0,4300.0,4300.0,0.0
Desarrolladora GR,Marzo 2022,29115430.0,27314119.0,1801311.0,1801311.0,0.0
Desarrolladora GR,Mayo 2022,3388620.0,0.0,3388620.0,3388620.0,0.0
Desarrolladora GR,Abril 2022,57841680.0,55583055.0,2258625.0,2258625.0,0.0
Desarrolladora GR,Junio 2022,36081827.0,10743580.0,25338247.0,25318998.0,0.0
Desarrolladora GR,Septiembre 2022,1428052.0,0.0,1428052.0,1428052.0,0.0
Desarrolladora GR,Julio 2022,50880067.0,10893200.0,39986867.0,39986867.0,0.0
Expensas Paseos Cortaderas,Abril 2020,183886.7,135415.0,48471.7,30921.7,6100.0
Expensas Paseos Cortaderas,Julio 2020,125725.0,121067.5,4657.5,5147.0,-489.5
Expensas Paseos Cortaderas,Mayo 2020,157234.2,137000.52,20233.68,46618.2,-26384.52
Expensas Paseos Cortaderas,Marzo 2020,120558.0,83471.0,37087.0,37087.0,0.0
Expensas Paseos Cortaderas,Septiembre 2020,138395.0,118404.0,19991.0,19991.0,0.0
Expensas Paseos Cortaderas,Junio 2020,122651.0,97731.0,24920.0,17257.0,7663.0
Expensas Paseos Cortaderas,Noviembre 2020,136293.2,122785.79,13507.41,9140.0,4367.41
Expensas Paseos Cortaderas,Agosto 2020,144498.5,139078.5,5420.0,-3173.0,8593.0
Expensas Paseos Cortaderas,Octubre 2020,179897.0,177997.0,1900.0,1900.0,0.0
Expensas Paseos Cortaderas,Diciembre 2020,184085.0,161487.0,22598.0,22597.0,1.0
Expensas PLCA,Septiembre 2022,263720.0,249600.0,14120.0,14120.0,0.0
Expensas PLCA,Noviembre 2022,258280.0,248250.0,10030.0,10030.0,0.0
Expensas PLCA,Octubre 2022,221200.0,234200.0,-13000.0,-13000.0,0.0
Expensas PLCA,Diciembre 2022,86000.0,60200.0,25800.0,25800.0,0.0
Expensas PLCA,Enero 2023,284300.0,284300.0,0.0,0.0,0.0
Expensas PLCA,Marzo 2023,40000.0,31500.0,8500.0,8500.0,0.0
Expensas PLCA,Mayo 2023,428670.0,432345.0,-3675.0,-3675.0,0.0
Expensas PLCA,Abril 2023,321300.0,321300.0,0.0,0.0,0.0
Expensas PLCA,Junio 2023,106200.0,79700.0,26500.0,26500.0,0.0
Expensas PLCA,Julio 2023,337659.0,300640.0,37019.0,37019.0,0.0
Expensas PLRE,Julio 2022,,,,0.0,0.0
Expensas PLRE,Agosto 2022,123450.0,113380.0,10070.0,10070.0,0.0
Expensas PLRE,Noviembre 2022,306319.0,306319.0,0.0,0.0,0.0
Expensas PLRE,Octubre 2022,162271.0,136100.0,26171.0,26171.0,0.0
Expensas PLRE,Septiembre 2022,258800.0,261770.0,-2970.0,-2970.0,0.0
Expensas PLRE,Diciembre 2022,166168.0,156830.0,9338.0,9338.0,0.0
Expensas PLRE,Febrero 2023,210536.0,210536.0,0.0,0.0,0.0
Expensas PLRE,Enero 2023,219928.0,219928.0,0.0,0.0,0.0
Expensas PLRE,Marzo 2023,263416.1,311506.5,-48090.4,-48090.4,0.0
Expensas PLRE,Mayo 2023,385948.0,385948.0,0.0,0.0,0.0
Expensas PNSC,Octubre 2022,133600.0,133600.0,0.0,0.0,0.0
Expensas PNSC,Noviembre 2022,172500.0,172500.0,0.0,0.0,0.0
Expensas PNSC,Diciembre 2022,311800.0,174186.0,137614.0,137614.0,0.0
Expensas PNSC,Enero 2023,334176.0,334176.0,0.0,0.0,0.0
Expensas PNSC,Febrero 2023,289864.46,289864.46,0.0,0.0,0.0
Expensas PNSC,Marzo 2023,196150.0,196150.0,0.0,0.0,0.0
Expensas PNSC,Mayo 2023,343212.0,343212.0,0.0,0.0,0.0
Expensas PNSC,Abril 2023,220200.0,220200.0,0.0,0.0,0.0
Expensas PNSC,Junio 2023,349710.0,261240.0,88470.0,88470.0,0.0
Expensas PNSC,Julio 2023,357000.0,370500.0,-13500.0,-13500.0,0.0
Fútbol,Mayo 2022,438133.95,434800.0,3333.95,3010.0,323.95
Fútbol,Abril 2022,422880.0,401756.05,21123.95,4710.0,16413.95
Fútbol,Junio 2022,235940.0,219668.0,16272.0,11510.0,4762.0
Fútbol,Julio 2022,221072.0,219500.0,1572.0,10.0,1562.0
Fútbol,Agosto 2022,248730.0,243900.0,4830.0,4750.0,80.0
Fútbol,Septiembre 2022,278200.0,263600.0,14600.0,2200.0,12400.0
Fútbol,Noviembre 2022,257640.0,250800.0,6840.0,110.0,6730.0
Fútbol,Octubre 2022,299940.0,272100.0,27840.0,500.0,27340.0
Fútbol,Diciembre 2022,213430.0,212057.0,1373.0,703.0,670.0
Fútbol,Enero 2023,191370.0,173500.0,17870.0,17200.0,670.0
Gym,Febrero 2019,199200.0,218700.0,-19500.0,2600.0,0.0
Gym,Abril 2019,184850.0,176178.96,8671.04,29600.0,71.04
Gym,Enero 2019,211020.24,223941.66,-12921.42,-32652.59,19731.17
Gym,Septiembre 2019,339492.84,311802.71,27690.13,57505.37,4429.76
Gym,Octubre 2019,399131.64,349581.62,49550.02,29833.25,19516.77
Gym,Julio 2019,256334.5,210253.63,46080.87,75710.5,25141.37
Gym,Febrero 2020,230835.0,318144.2,-87309.2,-53920.0,20110.8
Gym,Diciembre 2019,680675.58,404374.29,276301.29,136476.94,139824.35
Gym,Enero 2020,285813.7,322083.77,-36270.07,45776.0,-26546.07
Gym,Marzo 2020,319682.54,313248.45,6434.09,10.0,6424.09
Hipólito,Octubre 2019,1575231.0,1538717.13,36513.87,77524.81,-40238.44
Hipólito,Enero 2020,1993006.0,2111112.59,-118106.59,-140926.09,216749.84
Hipólito,Diciembre 2019,2357284.0,2231717.01,125566.99,142168.22,85028.57
Hipólito,Abril 2020,507245.4,557178.19,-49932.79,6188.89,-37939.68
Hipólito,Febrero 2020,1984879.7,1857061.79,127817.91,141741.08,28518.5
Hipólito,Agosto 2019,1145785.5,1334491.62,-188706.12,-77993.08,-99210.04
Hipólito,Julio 2019,1336998.0,1495775.13,-158777.13,231707.44,332414.0
Hipólito,Enero 2019,1618961.8,1523802.79,95159.01,23365.76,344537.98
Hipólito,Noviembre 2019,2061020.0,1967895.28,93124.72,160299.96,-17304.24
Hipólito,Febrero 2019,1640548.0,1360365.25,280182.75,308327.5,379581.0
Horneritos,Enero 2020,124410.0,140018.95,-15608.95,-16763.0,40426.05
Horneritos,Noviembre 2019,201140.0,170229.41,30910.59,9627.2,23679.89
Horneritos,Septiembre 2019,203730.0,201748.16,1981.84,-37452.0,43408.84
Horneritos,Abril 2020,163423.83,163423.83,0.0,0.0,0.0
Horneritos,Enero 2019,74250.0,118184.75,-43934.75,-58834.75,14900.0
Horneritos,Marzo 2020,195550.0,219533.85,-23983.85,-4650.0,-19333.85
Horneritos,Febrero 2020,207480.0,164990.2,42489.8,55315.0,21279.8
Horneritos,Mayo 2019,160550.0,130890.0,29660.0,590.0,48750.0
Horneritos,Julio 2019,162950.0,154847.0,8103.0,-4145.0,48300.0
Horneritos,Agosto 2019,194600.0,192382.87,2217.13,-43925.0,46483.13
HRe,Noviembre 2019,50300.0,36658.35,13641.65,8961.65,4680.0
HRe,Enero 2020,435633.75,289413.21,146220.54,171533.25,-9956.73
HRe,Diciembre 2019,407231.5,316932.6,90298.9,66342.0,19909.6
Lagus,Abril 2020,705907.42,669419.8,36487.62,2270.0,34217.62
Lagus,Enero 2020,226183.94,281826.43,-55642.49,-42873.78,-9747.65
Lagus,Noviembre 2019,135991.56,52665.5,83326.06,74740.82,8350.74
Lagus,Febrero 2020,209984.99,374451.61,-164466.62,-142513.66,-1771.06
Lagus,Marzo 2020,294237.25,405063.95,-110826.7,109840.13,-220666.83
Lagus,Diciembre 2019,241068.25,192060.65,49007.6,12378.55,41786.55
